id,type,district,lon,lat,level
N_1034,junction,หนองจอก,100.83913,13.77404,-1
N_1035,junction,ทวีวัฒนา,100.34568,13.76659,-1
N_1036,junction,บางพลัด,100.5008,13.79989,-1
N_1037,junction,บางพลัด,100.50989,13.79082,-1
N_1038,junction,บางบอน,100.39228,13.65869,-1
N_1039,junction,บางบอน,100.44252,13.68786,-1
N_104,junction,ภาษีเจริญ,100.43346,13.72394,-1
N_1040,junction,หลักสี่,100.56234,13.90367,-1
N_1041,junction,หลักสี่,100.56806,13.90254,-1
N_1042,junction,หลักสี่,100.56078,13.90594,-1
N_1043,junction,หลักสี่,100.55715,13.90638,-1
N_1044,junction,ภาษีเจริญ,100.42867,13.72627,-1
N_1045,junction,ภาษีเจริญ,100.42905,13.7252,-1
N_1046,junction,บางพลัด,100.50804,13.78896,-1
N_1047,junction,บางพลัด,100.49428,13.79812,-1
N_1048,junction,จอมทอง,100.47803,13.70459,-1
N_1049,junction,จอมทอง,100.47226,13.7036,-1
N_105,junction,พระโขนง,100.61064,13.69697,-1
N_1050,junction,บางพลัด,100.49356,13.79066,-1
N_1051,junction,บางพลัด,100.50507,13.7857,-1
N_1052,junction,ราษฎร์บูรณะ,100.51756,13.66195,-1
N_1053,junction,ราษฎร์บูรณะ,100.52178,13.67337,-1
N_1054,junction,บางขุนเทียน,100.4679,13.60066,-1
N_1055,junction,บางขุนเทียน,100.4661,13.60043,-1
N_1056,junction,ภาษีเจริญ,100.46071,13.72902,-1
N_1057,junction,ภาษีเจริญ,100.44648,13.73006,-1
N_1058,junction,ภาษีเจริญ,100.44592,13.73072,-1
N_1059,junction,ภาษีเจริญ,100.44655,13.73351,-1
N_106,junction,พระโขนง,100.62269,13.70004,-1
N_1060,junction,ภาษีเจริญ,100.43475,13.69892,-1
N_1061,junction,บางซื่อ,100.51753,13.80808,-1
N_1062,junction,บางซื่อ,100.53108,13.80948,-1
N_1063,junction,ทวีวัฒนา,100.34018,13.75147,-1
N_1064,junction,ทวีวัฒนา,100.3423,13.75158,-1
N_1065,junction,ยานนาวา,100.53467,13.68382,-1
N_1066,junction,ยานนาวา,100.5286,13.67322,-1
N_1067,junction,ยานนาวา,100.53287,13.6829,-1
N_1068,junction,ยานนาวา,100.52642,13.67508,-1
N_1069,junction,หนองจอก,100.83877,13.77231,-1
N_107,junction,บางคอแหลม,100.50642,13.71048,-1
N_1070,junction,หนองจอก,100.84022,13.77019,-1
N_1071,junction,พระนคร,100.49908,13.77274,-1
N_1072,junction,พระนคร,100.50943,13.76363,-1
N_1073,junction,สวนหลวง,100.63813,13.70694,-1
N_1074,junction,สวนหลวง,100.63835,13.70582,-1
N_1075,junction,จอมทอง,100.46957,13.66162,-1
N_1076,junction,จอมทอง,100.45826,13.68945,-1
N_1077,junction,จอมทอง,100.45555,13.68743,-1
N_1078,junction,ภาษีเจริญ,100.44106,13.71787,-1
N_1079,junction,หนองแขม,100.36896,13.6812,-1
N_108,junction,บางคอแหลม,100.51683,13.70376,-1
N_1080,junction,หนองแขม,100.36848,13.68094,-1
N_1081,junction,ดุสิต,100.51667,13.76037,-1
N_1082,junction,ดุสิต,100.51828,13.75697,-1
N_1083,junction,ภาษีเจริญ,100.45005,13.73566,-1
N_1084,junction,ภาษีเจริญ,100.45063,13.73081,-1
N_1085,junction,บางขุนเทียน,100.47987,13.60822,-1
N_1086,junction,บางขุนเทียน,100.47697,13.60985,-1
N_1087,junction,วัฒนา,100.59844,13.71219,-1
N_1088,junction,วัฒนา,100.59754,13.71593,-1
N_1089,junction,บางกอกใหญ่,100.48516,13.72674,-1
N_109,junction,ธนบุรี,100.46908,13.71511,-1
N_1090,junction,บางกอกใหญ่,100.47595,13.74444,-1
N_1091,junction,ภาษีเจริญ,100.43271,13.71577,-1
N_1092,junction,ภาษีเจริญ,100.43183,13.70927,-1
N_1093,junction,บางพลัด,100.49505,13.76614,-1
N_1094,junction,หนองแขม,100.37977,13.66998,-1
N_1095,junction,หนองแขม,100.37942,13.67131,-1
N_1096,junction,จอมทอง,100.45541,13.6872,-1
N_1097,junction,ทวีวัฒนา,100.37381,13.75391,-1
N_1098,junction,ทวีวัฒนา,100.37378,13.75355,-1
N_1099,junction,ทวีวัฒนา,100.37485,13.77126,-1
N_11,junction,หนองจอก,100.88729,13.79766,-1
N_110,junction,ธนบุรี,100.47162,13.7139,-1
N_1100,junction,ทวีวัฒนา,100.40784,13.76888,-1
N_1101,junction,ตลิ่งชัน,100.45448,13.77217,-1
N_1102,junction,บางพลัด,100.51188,13.7929,-1
N_1103,junction,บางพลัด,100.50643,13.79702,-1
N_1104,junction,บางพลัด,100.5116,13.80923,-1
