quality_issue_fact_key,district_key,issue_type,severity,entity_type,entity_id,source_layer,source_path,spatial_hash_geohash7,polygon_district_code,review_status,requires_manual_review
ed305ed5077eb835c395f4214191115be8f49e4cf46c1881676728f441f4276f,1001,district_spatial_conflict,high,drainage_asset,pumpstations:119,pumpstations,data/geojson/pumpstations.geojson,w4rqqgn,1002,unresolved,1
7b876f347088f908fc97b7be8693ec19dde1670691cb873658014eda0301cc2e,1002,district_spatial_conflict,high,drainage_asset,canals:3614,canals,data/geojson/canals.geojson,w4rqx81,1029,unresolved,1
3da0d40f9e8ba3c3a2cd90916b0dc13b76263a98473f0f704242b27ec5c6b708,1002,district_spatial_conflict,high,monitoring_location,water_level_station:12,water_level_station,water-data/water_latest_geojson.json,w4rqrxv,,unresolved,1
ea2aa7d409f4a97c6526e08443ee48a173516db41a1cbfe82b71514d9c9f39b8,1004,district_spatial_conflict,high,drainage_asset,floodgates:158,floodgates,data/geojson/floodgates.geojson,w4rqp5r,1013,unresolved,1
9b2b8bfbbe3ff99c3df504d605d603993fb84670ac5cd5db81d7fc7cf23a9d73,1005,district_spatial_conflict,high,drainage_asset,canals:4151,canals,data/geojson/canals.geojson,w4rx189,1042,unresolved,1
7597e1d74abcc4309fbd87ae71d5368be4def2b63294ab5767bd290148f44c46,1005,district_spatial_conflict,high,drainage_asset,canals:4443,canals,data/geojson/canals.geojson,w4rwfxh,1042,unresolved,1
01a1f6ccbcdf9fb8b00b8bce9a73849dfcc7748f60887a43196164adc98ad46b,1006,district_spatial_conflict,high,drainage_asset,canals:3714,canals,data/geojson/canals.geojson,w4rw6bd,1044,unresolved,1
b6c865006fd7975faf00998fe85c9175ec7b75d2588785d0f7c46a6480b98888,1006,district_spatial_conflict,high,drainage_asset,floodgates:085,floodgates,data/geojson/floodgates.geojson,w4rw4nq,1034,unresolved,1
fdf4d19c9bb73e08cf42305f777260e85139a9895c7bb7de276f0f6da0396270,1006,district_spatial_conflict,high,drainage_asset,pumpstations:140,pumpstations,data/geojson/pumpstations.geojson,w4rw3y5,1045,unresolved,1
3ec8fdda4188b0483fcc2317b94a1a96ee0e9ff7076fc5fa0f36a37323d72127,1006,district_spatial_conflict,high,drainage_asset,sumps:154,sumps,data/geojson/sumps.geojson,w4rw4nq,1034,unresolved,1
b09e71a8d875c8f1a51be138631aebbbf1a7b0ba54d4d9f1829c0e0ded4fc734,1006,district_spatial_conflict,high,monitoring_location,water_level_station:271,water_level_station,water-data/water_latest_geojson.json,w4rw6m3,,unresolved,1
ffa39e2bcc1a1f8c60d5d3c373f8bafb164a5837850ed504f0e5b874016a1145,1007,district_spatial_conflict,high,drainage_asset,canals:4426,canals,data/geojson/canals.geojson,w4rqpxn,1037,unresolved,1
9d0c4dc6a8eeed3288f2e186f2fb77d2cadc7f110457f022cc952d609e5eedf1,1009,district_spatial_conflict,high,drainage_asset,canals:3233,canals,data/geojson/canals.geojson,w4rtcrn,1034,unresolved,1
5ae18ef956189bd9f546a3437683d188e403df28b833d594cafa5ab98b364a1f,1009,district_spatial_conflict,high,drainage_asset,pumpstations:24,pumpstations,data/geojson/pumpstations.geojson,w4rtc49,1047,unresolved,1
d87539f6e7d0d7e3789bb293c709fd1578d8f8e905a7485d51b88633dbb82ccb,1009,district_spatial_conflict,high,drainage_asset,sumps:25,sumps,data/geojson/sumps.geojson,w4rtc6g,1047,unresolved,1
644a3bbba54677dedb035c3d52a78e99aed946d527f41c98f20132a7aa71c2bd,1010,district_spatial_conflict,high,drainage_asset,canals:3205,canals,data/geojson/canals.geojson,w4rwee8,1046,unresolved,1
bb3451d507ba8277e1329ff72391de1c04a7d6102c8f7b9c65c9f48b906d110e,1010,district_spatial_conflict,high,drainage_asset,canals:3813,canals,data/geojson/canals.geojson,w4rwst3,1046,unresolved,1
0028ca6f07b874243b822a7f5be48f669bd8eb32d8d1c0676455f2f394367dfd,1010,district_spatial_conflict,high,drainage_asset,canals:4119,canals,data/geojson/canals.geojson,w4rwtg7,1003,unresolved,1
dc66a414772ff7773292e1f281bee6c5321454372b99e5275ee890964890fe56,1010,district_spatial_conflict,high,drainage_asset,canals:4135,canals,data/geojson/canals.geojson,w4rwtb3,1003,unresolved,1
99d8419fc7632cb4899ec8ce036fb62ac5d61e41cb0d91f6e7141e9fe31fe445,1010,district_spatial_conflict,high,drainage_asset,floodgates:118,floodgates,data/geojson/floodgates.geojson,w4rwe92,1043,unresolved,1
fbc2c1f8fa62a32dffbbb6be816ba78a03a1ba0c4a0b8211f447b8d3e0028ee8,1010,district_spatial_conflict,high,drainage_asset,protection:35,protection,data/geojson/protection.geojson,w4rwgds,1046,unresolved,1
4ffc02ae34257153e3ca94db700e81e76cba79801cd78bfff2dcd0711c4d3d24,1011,district_spatial_conflict,high,drainage_asset,canals:4129,canals,data/geojson/canals.geojson,w4rwmm4,1010,unresolved,1
cae50c30309b3b2ba040b381aa83c6b23595bf8f3884a2b2b9643a4f336e3783,1011,district_spatial_conflict,high,drainage_asset,canals:4130,canals,data/geojson/canals.geojson,w4rwprg,1003,unresolved,1
4a5f42cc3fba833e9d661645e1e7883a88de58914fc4cfc30dcc3e3ad149b609,1011,district_spatial_conflict,high,drainage_asset,canals:4136,canals,data/geojson/canals.geojson,w4rwk5g,1010,unresolved,1
bba19a9e69931f7c4644453c524e2a1e37de99bab1e81ee2e4892de38b164fe3,1011,district_spatial_conflict,high,drainage_asset,canals:4144,canals,data/geojson/canals.geojson,w4rwmxd,1010,unresolved,1
4ec4266bc6d13ad66ce739a6e4326c0e54dbc079c582540dc56b4322b5ef9e3a,1011,district_spatial_conflict,high,drainage_asset,canals:4157,canals,data/geojson/canals.geojson,w4rwq7n,1003,unresolved,1
9fdb56823dd91739f240e6827f8c52bebfea85eb39c9e386939bf493a09e3410,1011,district_spatial_conflict,high,drainage_asset,canals:4174,canals,data/geojson/canals.geojson,w4rwkuk,1010,unresolved,1
